Course Title,Course Subject,A+,A,Total 4.0,Total A,Total Kids,Percent 4.0,Percent A,ACP,HUM,SSBS,CW,CNW,Credit Hours
PS316,PS,18,2,20,20,24,0.8333333333333334,0.8333333333333334,NO,NO,NO,NO,NO,3
PS330,PS,4,6,10,13,24,0.4166666666666667,0.5416666666666666,NO,NO,NO,NO,NO,3
PS340,PS,3,6,9,12,23,0.391304347826087,0.5217391304347826,NO,NO,NO,NO,NO,3
PS347,PS,0,4,4,10,24,0.16666666666666666,0.4166666666666667,NO,NO,NO,NO,NO,3
PS348,PS,8,10,18,22,29,0.6206896551724138,0.7586206896551724,NO,NO,NO,NO,NO,3
PS353,PS,2,3,5,9,21,0.23809523809523808,0.42857142857142855,NO,NO,NO,NO,NO,3
PS380,PS,2,1,3,6,21,0.14285714285714285,0.2857142857142857,NO,NO,NO,NO,NO,3
PS385,PS,5,6,11,16,23,0.4782608695652174,0.6956521739130435,NO,NO,NO,NO,NO,3
PS390,PS,12,31,43,69,108,0.39814814814814814,0.6388888888888888,NO,NO,NO,NO,NO,3
PS397,PS,1,8,9,14,25,0.36,0.56,NO,NO,NO,NO,NO,3
PSM503,PSM,16,2,18,20,24,0.75,0.8333333333333334,NO,NO,NO,NO,NO,0
PSYC100,PSYC,66,191,257,355,1341,0.19164802386278895,0.26472781506338555,NO,NO,Yes,NO,NO,4
PSYC103,PSYC,1,15,16,16,59,0.2711864406779661,0.2711864406779661,NO,NO,NO,NO,NO,4
PSYC201,PSYC,73,66,139,188,462,0.3008658008658009,0.4069264069264069,NO,NO,Yes,NO,NO,3
PSYC204,PSYC,11,40,51,59,88,0.5795454545454546,0.6704545454545454,NO,NO,NO,NO,NO,3
PSYC210,PSYC,4,21,25,39,168,0.1488095238095238,0.23214285714285715,NO,NO,NO,NO,NO,3
PSYC216,PSYC,2,97,99,99,190,0.5210526315789473,0.5210526315789473,NO,NO,NO,NO,NO,3
PSYC224,PSYC,4,45,49,49,181,0.27071823204419887,0.27071823204419887,NO,NO,NO,NO,NO,3
PSYC230,PSYC,0,93,93,93,174,0.5344827586206896,0.5344827586206896,NO,NO,NO,NO,NO,3
PSYC235,PSYC,5,6,11,19,39,0.28205128205128205,0.48717948717948717,NO,NO,NO,NO,NO,3
PSYC238,PSYC,18,81,99,171,367,0.26975476839237056,0.4659400544959128,NO,NO,NO,NO,NO,3
PSYC239,PSYC,13,13,26,43,61,0.4262295081967213,0.7049180327868853,NO,NO,Yes,NO,NO,3
PSYC245,PSYC,13,38,51,63,149,0.3422818791946309,0.4228187919463087,NO,NO,NO,NO,NO,3
PSYC248,PSYC,0,80,80,80,196,0.40816326530612246,0.40816326530612246,NO,NO,NO,NO,NO,3
PSYC250,PSYC,9,15,24,38,105,0.22857142857142856,0.3619047619047619,NO,NO,NO,NO,NO,3
PSYC312,PSYC,2,19,21,37,127,0.16535433070866143,0.29133858267716534,NO,NO,NO,NO,NO,3
PSYC333,PSYC,0,27,27,59,88,0.3068181818181818,0.6704545454545454,NO,NO,NO,NO,NO,4
PSYC336,PSYC,1,17,18,36,64,0.28125,0.5625,NO,NO,NO,NO,NO,3
PSYC350,PSYC,0,47,47,47,76,0.618421052631579,0.618421052631579,NO,NO,NO,NO,NO,4
PSYC353,PSYC,0,55,55,55,113,0.48672566371681414,0.48672566371681414,NO,NO,NO,NO,NO,3
